code|description_serbian|description_latin
Q93.9|Razaranja autosomnog hromosoma,neoznačeno|Deletio chromosomatica autosomatica,non specificata
Q95|Translokacije i pripajanja hromosoma|Translocationes et insertiones chromosomaticae
Q95.0|Balansirane translokacije i pripajanja hromosoma kod normalnih osoba|Translocationes et insertiones chromosomaticae aequilibratae ad personas normales
Q95.1|Inverzije hromosoma u normalnih osoba|Inversiones chromosomaticae ad personas normales
Q95.2|Autosomna balansirana reorganizacija u nenormalnih osoba|Reorganisatio autosomatica aequilibrata ad personas abnormales
Q95.3|Balansirana polno autosomna reorganizacija u nenormalnih osoba|Reorganisato sexuale-autosomatica aequilibrata ad personas abnormales
Q95.4|Osobe sa označenim heterohromatinom|Personae cum heterochromatino specificato
Q95.5|Osobe sa autosomnim nestabilnim mestom|Personae cum situ autosomatico instabili
Q95.8|Druge poprečne translokacije i pripajanja hromosoma|Translocationes transversae et insertiones chromosomaticae aliae
Q95.9|Neoznačena translokacija i pripajanje hromosoma|Translocatio et insertio chromosomatica, non specificata
Q96|Turnerov sindrom|Syndroma Turner
Q96.0|Kariotip 45,X|Karyotype 45,x
Q96.1|Kariotip 46,X izo (Xq)|Karyotype 46,x iso(Xq)
Q96.2|Kariotip 46, X sa nenormalnim polnim hromosomom, osim iso (Xq)|Karyotype 46,X cum chromosomate sexuali abnormali, praeter iso (Xq)
Q96.3|Mozaicizam 45,X/46,XX ili XY|Mosaicismus 45,X/46,XX sive XY
Q96.4|Mozaicizam 45, X druge ćelijske linije sa nenormalnim polnim hromosomom|Mosaicismus 45,X cella-lineae cum chromosomate sexuali anormali aliae
Q96.8|Drugi oblici Turnerovog sindroma|Variationes syndomae Turner aliae
Q96.9|Turnerov sindrom,neoznačen|Syndroma Turner,non specificata
Q97|Druge anomalije polnog hromosoma, ženski fenotip|Anomaliae chromosmatis sexualis, phaenotypus femininus, aliae
Q97.0|Kariotop 47,XXX|Karyotype 47,XXX
Q97.1|Žena sa brojem X hromosoma većim od tri|Femina cum numero X chromasomatum tribus majore
Q97.2|Mozaicizam, linija sa različitim brojem X hromosoma|Mosaicismus,linea cum numero X chromosomatum vario
Q97.3|Žena sa kariotopom 46,XY|Femina cum 46,XY karytypo
Q97.8|Druge označene anomalije polnog hromosoma, ženski fenotip|Anomaliae chromosomatis sexualis, phaenotypus femininus aliae, specificatae
Q97.9|Anomalija polnog hromosoma, ženski fenotip, neoznačena|Anomalia chromosomatis sexualis, phaenotypus femininus, non specificata
Q98|Druge anomalije polnog hromosoma, muški fenotip|Anomaliae chromosmatis sexualis, phaenotypus masculinus, aliae
Q98.0|Klinefelterov sindrom,kariotip 47,XXY|Syndroma Klinefelter,karyotypus 47,XXY
Q98.1|Klinefelterov sindrom, muškarac sa brojem X hromosoma većim od dva|Syndroma Klinefelter,mas cum numero X chromosomatum duobus majore
Q98.2|Klinefelterov sindrom, muškarac sa 46, XX kariotipom|Syndroma Klinfelter,mas cum 46,XX karyotypo
Q98.3|Drugi muškarac sa kariotipom 46,XX|Mas cum 46,XX karytypo alius
Q98.4|KInefelterov sindrom,neoznačen|Syndroma Klinefelter,non specificata
Q98.5|Kariotop 47,XYY|Karyotypus 47,XYY
Q98.6|Muškarac sa nenormalnom strukturom polnog hromosoma|Mas cum strictura chromosomatis sexualis abnormali
Q98.7|Muškarac sa mozaicizmom polnog hromosoma|Mas cum mosaicismo chromosomatis sexualis
Q98.8|Druge označene anomalije polnog hromosoma, muški fenotip|Anomaliae chromosomatis sexualis, phaenotypus masculinus aliae, specificatae
Q98.9|Anomalija polnog hromosoma, muški fenotip, neoznačena|Anomalia chromosomatis sexualis, phaenotypus masculinus, non specificata
Q99|Druge hromosomske anomalije|Anomaliae chromosomaticae aliae
R00|Poremećaji ritma srca|Arrhytmiae cordis
R00.0|Ubrzan rad srca,neoznačen|Tachycardia, non specificata
R00.1|Spor rad srca,neoznačen|Bradycardia,non specificata
R00.2|Lupanje srca|Palpitatio cordis
R00.8|Drugi i neoznačeni poremećaji ritma srca|Arrhythimae cordis aliae et non specificate
R01|Šumovi i drugi zvuci srca|Strepitus et soni cardiaci alii
R01.0|Funkcionalni šumovi srca|Strepitus cardiaci benigni et simplices
R01.1|Šum srca,neoznačen|Strepitus cardiacus,non specificatus
R01.2|Drugi zvuci srca|Soni cardiaci alii
R02|Gangrena-izumiranje tkiva|Gangraena
R03|Nenormalan krvni pritisak,bez dijagnoze|Tensio sanguinea abnormalis,sine diagnosi
R03.0|Povišen krvni pritisak, bez dijagnoze hipertenzije|Hypertensio,sine diagnosi hypertensionali
R03.1|Nizak krvni pritisak|Hypotensio
R04|Krvarenje iz disajnih puteva|Haemorrhagia tractuum respiratoriorum
R04.0|Krvarenje iz nosa|Epistaxis
R04.1|Krvarenje iz ždrela|Haemorrhagia pharyngis
R04.2|Krvav ispljuvak|Haemoptysis
R04.8|Krvarenje iz drugih delova disajnih puteva|Haemorrhagia partium tractuum respiratoriorum aliarum
R04.9|Krvarenje iz disjnih puteva,neoznačeno|Haemorrhagia tractuum respiratoriorum, non specificata
R05|Kašalj|Tussis
R06|Smetnje disanja|Respiratones abnormales
R06.0|Otežano disanje|Dyspnoea
R06.1|Pištanje|Stridor
R06.2|Piskanje|Sibilus
R06.3|Periodično disanje|Respiratio periodica
R06.4|Pojačana ventilacija pluća|Hyperventilatio
R06.5|Disanje na usta|Respiratio oralis
R06.6|Štucanje|Singultus
R06.7|Kijanje|Sternutatio
R06.8|Druge i neoznačene smetnje disanja|Respirationes abnormals aliae et non specificatae
R07|Bol u grlu i grudima|Dolor laryngicus et pectoralis
R07.0|Bol u grlu|Dolor pharyngis
R07.1|Bol u grudima pri disanju|Pleurodynia
R07.2|Bol u predelu srca|Dolor praecordialis
R07.3|Drugi bol u grudima|Dolor pectoralis alius
R07.4|Bol u grudima,neoznačen|Dolor pectoralis,non specificatus
R09|Drugi simptomi i znaci sistema za krvotok i sistema za disanje|Symptomata et signa systematis circulatorii et respiratorii alia
R10|Bol u trbuhu i karlici|Dolor abdominalis et pelvicus
R10.0|Akutan bol u trbuhu|Dolor abdominalis acutus
R10.1|Bol u gornjem delu trbuha|Dolor abdominalis superior
R10.2|Bol u karlici i međici|Dolor pelvicus et perinaealis
R10.3|Bol u donjem delu trbuha|Dolor abdominalis inferior
R10.4|Drugi i neoznačeni bol trbuha|Dolor abdominalis alius, non specificatus
R11|Mučnina i povraćanje|Nausea et vomitus
R12|Gorušica|Pyrosis
R13|Otežano gutanje|Dysphagia
R14|Nadutost i slična stanja trbuha|Flatulentia et status similes
R15|Nevoljno pražnjenje creva|Incontinentia alvi
R16|Uvećana jetra i uvećana slezina|Hepatomegalia et splenomegalia
R16.0|Uvećana jetra|Hepatomegalia
R16.1|Uvećana slezina|Splenomegalia
R16.2|Uvećana jetra sa uvećanom slezinom|Hepatomegalia cum splenomegalia
R17|Žutica nepoznatog porekla|Icterus non specificatus
R18|Voda u trbuhu|Ascites
R19|Drugi simptomi i znaci sistema za varenje i trbuha|Syptomata et signa systematis digestivi et abdominis alia
R20|Poremećaj osetljivosti kože|Disordines sensibilitatis cutis
R20.0|Neosetljivost kože|Anaesthesia cutis
R20.1|Smanjena osetljivost kože|Hypaesthesia cutis
R20.2|Poremećaj osećanja kože|Paraesthesia cutis
R20.3|Pojačana osetljivost|Hyperaesthesia
R20.8|Drugi i neoznačeni poremećaj osetljivosti kože|Disordines sensibilitatis cutis aliae, non specificatae
R21|Koprivnjača i drugi osip kože|Urticaria et exanthemata cutis aliae
R22|Oteklina kože i potkožnog tkiva|Intumescentia cutis et subcutis
R22.0|Oteklina kože i potkožnog tkiva glave|Intumescentia cutus et subcutis capitis
R22.1|Oteklina kože i potkožnog tkiva vrata|Intumescentia cutis et subcutis colli
R22.2|Oteklina kože i potkožnog tkiva trupa|Intumescentia cutis et subcutis trunci
R22.3|Oteklina kože i potkožnog tkiva ruke|Intumescentia cutis et subcutis extremitatis superioris
R22.4|Oteklina kože i potkožnog tkiva noge|Intumescentia cutis et subcutis extremitatis inferioris
R22.7|Oteklina na više različitih mesta kože i potkožnog tkiva|Intumescentia cutis et subcutis,locorum variorum multiplicium
R22.9|Oteklina kože i potkožnog tkiva, neoznačena|Intumescentia cutis et subcutis, non specificata
R23|Druge promene kože|Mutationes cutis aliae
R25|Nenormalni nevoljni pokreti|Motus involuntarii abnormales
R25.0|Nenormalni pokreti glave|Motus capitis abnormales
R25.1|Tremor-nevoljni pokreti,neoznačen|Tremor,non specificatus
R25.2|Jak bol i grč|Colica et spasmus
R25.3|Grčenje snopova mišića|Fasciculatio
R25.8|Drugi i neoznačeni nenormalni nevoljni pokreti|Motus involuntarii abnormales alii et non specificati
R26|Nenormalnosti hoda i pokretljivosti|Abnormitates ingressus et mobilitatis
R26.0|Nekoordiniran hod|Ingressus ataxicus
R26.1|Hod posle paralize|Ingressus postparalyticus
R26.2|Otežan hod|Difficultas ingressus
R26.8|Druge i neoznačene nenormalnosti hoda i pokretljivosti|Abnormitates ingressus et mobilitatis aliae et non specificatae
R27|Druga poremećena koordinacija|Coordinatio disordinata alia
R27.0|Poremećaj kordinacije pokreta,neoznačen|Ataxia non specificata
R27.8|Drugi i neoznačen poremećaj koordinacije|Disordo coordinationis alius et non specificatus
R29|Drugi simptomi i znaci nervnog i mišićno-koštanog sistema|Symptomata et signa systematis nervosi et musculosceletalis alia
R30|Bolno mokrenje|Mictio dolorosa
R30.0|Otežano mokrenje|Dysuria
R30.1|Bolni naponi pri mokrenju|Tenesmus vesicalis
R30.9|Bolno mokrenje, neoznačeno|Mictio dolorosa ,non specificata
R31|Krvava mokraća,neoznačena|Haematuria, non specificata
R32|Neoznačeno nezadržavanje mokraće|Incontinentia urinae,non specificata
R33|Zadržavanje mokraće|Retentia urinae
R34|Nemogućnost mokrenja i umanjeno mokrenje|Anuria et oliguria
R35|Učestalo mokrenje|Polyuria
R36|Curenje iz mokraćovoda bešike|Urethrorhoea
R39|Drugi simptomi i znaci mokraćnog sistema|Symptomata et signa systematis urinarii alia
R40|Pospanost,ošamućenost i besvesnost|Somnolentia,stupor et coma
R40.0|Pospanost|Somnolentia
R40.1|Ošamućenost|Stupor
R40.2|Besvesnost,neoznačena|Coma,non specificatum
R41|Drugi simptomi i znaci poimanja i svesnosti|Symptomata et signa cognitionis et conscientiae alia
R41.0|Dezorijentacija,neoznačena|Desorientatio,non specificata
R41.1|Nesećanje za period pre gubitka svesti|Amnesia anterograda
R41.2|Nesećanje za period posle dolaska svesti|Amnesia retrograda
R41.3|Drugo nesećanje|Amnesia alia
R41.8|Drugi i neoznačeni simptomi i znaci poimanja i svesnosti|Symptomata et signa cognitionis et conscientiae alii et non specificata
R42|Nestabilnost i vrtoglavica|Instabilitas et vertigo
R43|Poremećaji čula mirisa i poremećaji čula ukusa|Disordines olfactus et disordines gustus
R43.0|Gubitak čula mirisa|Anosmia
R43.1|Poremećaj razlikovanja mirisa|Parosmia
R43.2|Poremećaj osećaja ukusa|Parageusia
R43.8|Drugi i neoznačeni poremećaji čula mirisa i poremećaji čula ukusa|Disordines olfactus et disordines gustus alii et non specificati
R44|Drugi opšti simptomi i znaci osećanja i opažanja|Symptomata et signa sensus et perceptionis generalisata alia
R44.0|čulne obmane sluha|Hallucinationes auditivae
R44.1|čulne obmane vida|Hallucinationes visuales
R44.2|Druge čulne obmane|Hallucinationes aliae
R44.3|čulne obmane,neoznačene|Hallucinationes non specificatae
R44.8|Drugi opšti i neoznačeni simptomi i znaci osećanja i opažanja|Symptomata et signa sensus et perceptionis generalisata alia
R45|Simptomi i znaci osećanja (emocija)|Symptomata et signa emmotionalia
R45.0|Nervoza|Nervositas
R45.1|Nemir i razdražljivost|Inquietas et irritabilitas
R45.2|Bojazan|Angor
R45.3|Demoralizacija i bezvoljnost|Demoralisatio et apathia
R45.4|Razdražljivost i ljutnja|Irritabilitas et iracundia
R45.5|Neprijateljstvo|Inimicitia
R45.6|Fizičko nasilje|Violentia physica
R45.7|Emocionalni šok i stres,neoznačen|Afflictus (shock) et violentia(stress) emotionallis,non specificatus
R45.8|Drugi simptomi i znaci emocija|Symptomata et signa emotionalia alia
R46|Simptomi i znaci spoljašnjeg izgleda i ponašanja|Symptomata et signa aspectus externi et morum
R47|Poremećaji govora|Disordines orationis
R47.0|Otežan govor i nemogućnost govora|Dysphasia et aphasia
R47.1|Otežano izgovaranje reči i nemogućnost izgovaranja reči|Dysarthria et anarthria
R47.8|Drugi i neoznačeni poremećaji govora|Disordines orationis alii et non specificati
R48|Poremećaji čitanja i drugi poremećaji raspoznavanja znakova|Dyslexia et dysfunctiones symbolicae aliae
R48.0|Poremećaji čitanja i nerazumevanje napisanih reči|Dyslexia et alexia
R48.1|Nesposobnost shvatanja značenja čulnih utisaka|Agnosia
R48.2|Nesposobnost izvođenja izvesnih radnji|Apraxia
R48.8|Drug i neoznačeni poremećaji raspoznavanja znakova|Dysfunctiones symbolicae aliae et non specificatae
R49|Poremećaji glasa|Disordines vocales
R50|Groznica nepoznatog porekla|Febris causae ignotae
R50.0|Groznica kod nazeba|Febris influenzalis
R50.1|Uporna groznica|Febris continua
R50.9|Groznica,neoznačena|Fabris,non specificata
R51|Glavobolja|Cephalalgia
R52|Bol|Dolor
R52.0|Iznenadan bol|Dolor acutus
R52.1|Hronični nepodnošljiv bol|Dolor intolerabilis chronicus
R52.2|Drugi hroničan bol|Dolor chronicus alius
R52.9|Bol, neoznačen|Dolor,non specificatus
R53|Klonulost i umor|Languor et lassitudo
R54|Starost|Senilitas
R55|Padanje u nesvest i iznenadna nedovoljna funkcija mozga ili srca|Syncopa et collapsus
R56|Grčevi|Convulsiones
R56.0|Grčevi uzrokovani povišenom temperaturom tela|Convulsiones febriles
R56.1|Drugi i neoznačeni grčevi|Convulsiones aliae et non specificatae
R57|Šok|Afflictus(shock)
R57.0|Šok srca|Afflictus(shock) cardiacus
R57.1|Šok kod iskrvavljenosti|Afflictus (shock) hypovolaemicus
R57.8|Drugi šok|Afflictus (shock) alius
R57.9|Šok, neoznačen|Afflictus (shock),non specificatus
R58|Krvarenje|Haemorrhagia
R59|Povećanje limfnih čvorova|Hypertrophia lymphonodorum
R59.0|Lokalizovano povećanje limfnih čvorova|Hypertrophia lymphonodorum localisata
R59.1|Generalizovano povećanje limfnih čvorova|Hypertrophia lymphonodorum generalisata
R59.9|Povećanje limfnih čvorova,neoznačeno|Hypertrophia lymphonodorum,non specificata
R60|Oteklina|Oedema
R60.0|Lokalizovana oteklina|Oedema localisatum
R60.1|Generalizovana oteklina|Oedema generalisatum
R60.9|Oteklina, neoznačena|Oedema, non specificatum
R61|Prekomerno znojenje|Hyperhydrosis
R61.0|Lokalizovano prekomerno znojenje|Hyperhydrosis localisata
R61.1|Generalizovano prekomerno znojenje|Hyperhydrosis generalisata
R61.9|Prekomerno znojenje,neoznačeno|Hyperhydrosis,non specificata
R62|Usporen fiziološki razvoj|Insufficientia evolutonis physiologicae
R62.0|Zaostalost u razvoju|Retardatio
R62.8|Drugi usporen fiziološki razvoj|Insufficientia evolutionis physiologicae alia
R62.9|Usporen fiziološki razvoj ,neoznačen|Insufficientia evolutionis physiologicae,non specificata
R63|Simptomi i znaci pri uzimanju hrane i tečnosti|Symptomata et signa ad receptionem alimenti et liquoris
R63.0|Gubitak apetita|Anorexia
R63.1|Prekomerna žeđ|Polydipsia
R63.2|Prekomerno uzimanje hrane|Polyphagia
R63.3|Teškoće pri uzimanju hrane i loša regulacija|Difficultates ad receptionem alimenti et regulatio mala
R63.4|Nenormalni gubitak težine|Amissio ponderis abnormalis
R63.5|Nenormalno gojenje|Saginatus abnormalis
R63.8|Drugi simptomi i znaci pri uzimanju hrane i tečnosti|Symptomata et signa ad receptionem alimenti et liquoris alia
R64|Izrazita mršavost|Cachexia
R68|Drugi opšti simptomi i znaci|Symptomata et signa generalia alia
R68.0|Niska temperatura tela|Hypothermia
R68.1|Simptomi u dece,neoznačeni|Symptomata infantium,non specificata
R68.2|Suvoća usta, neoznačena|Siccitas oris,non specificata
R68.3|čvornovati prsti|Dugiti nodulosi
R68.8|Drugi opšti označeni simptomi i znaci|Symptomata et signa generalia alia,specificata
R69|Nepoznati i neoznačeni uzroci obolevanja|Causae morbiditatis incognitae et non specificatae
R70|Akutna povećana sedimentacija eritrocita i poremećaji viskoznosti plazme krvi|Hypersedimentatio erythrocytorum acuta et disordines viscositatis plasmatis
R70.0|Povećana sedimentacija|Hypersedimentatio
R70.1|Povećana viskoznost plazme|Hyperviscositas
R71|Poremećaji crvenih krvnih zrnaca|Disordines erythorocytorum
R72|Poremećaj belih krvnih zrnaca|Disordines leucocytorum
R73|Povišen nivo šećera u krvi|Hyperglycaemia
R73.0|Nenormalan test na šećer u krvi|Glycotest abnormalis
R73.9|Povišen nivo šećera u krvi,neoznačen|Hyperglycaemia,non specificata
R74|Nenormalan nivo fermenata u serumu krvi|Gradus seroenzymarum abnormalis
R74.0|Povećane transaminaze i dehidrogeneze mlečne kiseline (LDH)|Hypertransaminases et hyperdehydrogenases acidi lactei (LDH)
R74.8|Nenormalan nivo drugih fermenata u serumu krvi|Gradus seroenzymarum aliarum abnormalis
R74.9|Nenormalan nivo fermenata u serumu krvi,neoznačen|Gradus seroenzymarum abnormalis,non specificatus
R75|Laboratorijski podaci o virusu humane imunodeficijencije (HIV)|Informationes laboratorii de humanae immunodeficientiae viro (HIV)
R76|Druge imunitetske nenormalnosti seruma krvi|Anormitates seroimmunologicae aliae
R76.0|Povećani titar antitela|Vibratio anticorporum acuta
R76.1|Nenormalan tuberkulinski test|Test tuberculini abnormalis
R76.2|Lažno pozitivna serološka reakcija na sifilis|Reactio serologica syphilitica fasepositiva
R76.8|Druge označene imunitetske nenormalnosti seruma krvi|Abnormitates seroimmunologicae aliae,specificate
R76.9|Imunitetska nenormalnost seruma,neoznačena|Abnormitas immunologica,non specificata
R77|Drugi poremećaji belančevina u krvi|Disordines proteini in sanguine alii
R77.0|Poremećaj albumina|Disordo albumini
R77.1|Poremećaj globulina|Disordo globulini
R77.2|Poremećaj alfafetoproteina|Disordo alfafetoproteini
R77.8|Drugi označeni poremećaji belančevina u krvi|Disordines proteini in sanguine alii,specificati
R77.9|Poremećaj belančevina u krvi,neoznačen|Disordo proteini in sanguine,non specificatus
R78|Lekovi i druge supstance u krvi kojih normalno nema|Medicamenta et substantiae in sanguine,normale non praesentes,aliae
R78.0|Alkohol u krvi|Alcoholaemia
R78.1|Opijati u krvi|Opiataemia
R78.2|Kokain u krvi|Cocainaemia
R78.3|Halucinogen u krvi|Hallucinogenaemia
R78.4|Druge droge u krvi koje uzrokuju zavisnost|Medicamenta narcotica in sanguine,cum potentia additiva,alia
R78.5|Psihotropni lek u krvi|Medicamentum psychotropicum in sanguine
R78.6|Steroidi u krvi|Steroidaemia
R78.7|Povećanje količine teških metala u krvi|Hypermetallaemia
R78.8|Druge označene supstance u krvi kojih normalno nema|Substantiae in sanguine,normale non praesentes,aliae,specificatae
R78.9|Neoznačena supstanca u krvi koje normalno nema|Substantia in sanguine,normale non praesens,non specificata
R79|Drugi nenormalni hemizmi krvi|Chemicaemia abnormalis alia
R80|Belančevine u mokraći|Proteinuria isolata
R81|Šećer u mokraći|Glycosuria
R82|Druga nenormalnost mokraće|Urina abnormalis alia
R83|Nenormalna moždano-kičmena tečnost|Liquor cerebrospinalis abnormalis
R83.0|Nenormalna moždano-kičmena tečnost-enzyme abnormalis|Liquor cerebrospinalis abnormalis-enzyme abnormalis
R83.1|Nenormalna moždano-kičmena tečnost-hormonum abnormale|Liquor cerebrospinalis abnormalis-hormonum abnormale
R83.2|Nenormalna moždano-kičmena tečnost-narcotica,medicamenta et substantiae biologicae abnormales|Liquor cerebrospinalis abnormalis-narcotica,medicamenta et substantiae biologicae abnormales
R83.3|Nenormalna moždano-kičmena tečnost-substantia non medicinalis abnormalis|Liquor cerebrospinalis abnormalis-substantia non medicinalis abnormalis
R83.4|Nenormalna moždano-kičmena tečnost-immunologia abnormalis|Liquor cerebrospinalis abnormalis-immunologia abnormalis
R83.5|Nenormalna moždano-kičmena tečnost-microbiologia abnormalis-cultura urinae positiva|Liquor cerebrospinalis abnormalis-microbiologia abnormalis-cultura urinae positiva
R83.6|Nenormalna moždano-kičmena tečnost-cultura cytologica abnormalis-Papanicolaou pathologicus|Liquor cerebrospinalis abnormalis-cultura cytologica abnormalis-Papanicolaou pathologicus
R83.7|Nenormalna moždano-kičmena tečnost-hystologia abnormalis|Liquor cerebrospinalis abnormalis-hystologia abnormalis
R83.8|Nenormalna moždano-kičmena tečnost-abnormalitates aliae-chromosomata abnormalia|Liquor cerebrospinalis abnormalis-abnormalitates aliae-chromosomata abnormalia
R83.9|Nenormalna moždano-kičmena tečnost-abnormitas non specificata|Liquor cerebrospinalis abnormalis-abnormitas non specificata
R84|Nenormalni uzorci disajnih organa i grudnog koša|Probae organorum respiratoriorum et thoracis abnormales
R84.0|Nenormalni uzorci disajnih organa i grudnog koša-enzyme abnormalis|Probae organorum respiratoriorum et thoracis abnormales-enzyme abnormalis
R84.1|Nenormalni uzorci disajnih organa i grudnog koša-hormonum abnormale|Probae organorum respiratoriorum et thoracis abnormales-hormonum abnormale
R84.2|Nenormalni uzorci disajnih organa i grudnog koša-narcotica,medicamenta et substantiae biologicae abn|Probae organorum respiratoriorum et thoracis abnormales-narcotica,medicamenta et subst.biologic.abn.
R84.3|Nenormalni uzorci disajnih organa i grudnog koša-substantia non medicinalis abnormalis|Probae organorum respiratoriorum et thoracis abnormales-substantia non medicinalis abnormalis
R84.4|Nenormalni uzorci disajnih organa i grudnog koša-immunologia abnormalis|Probae organorum respiratoriorum et thoracis abnormales-immunologia abnormalis
R84.5|Nenormalni uzorci disajnih organa i grudnog koša-microbiologia abnormalis-cultura urinae positiva|Probae organorum respiratoriorum et thoracis abnormales-microbiologia abnormalis
R84.6|Nenormalni uzorci disajnih organa i grudnog koša-cultura cytologica abnormalis-Papanicolaou patholog|Probae organorum respiratoriorum et thoracis abnormales-cultura cytologica abnormalis
R84.7|Nenormalni uzorci disajnih organa i grudnog koša-hystologia abnormalis|Probae organorum respiratoriorum et thoracis abnormales-hystologia abnormalis
R84.8|Nenormalni uzorci disajnih organa i grudnog koša-abnormalitates aliae-chromosomata abnormalia|Probae organorum respiratoriorum et thoracis abnormales-abnormalitates aliae
R84.9|Nenormalni uzorci disajnih organa i grudnog koša-abnormitas non specificata|Probae organorum respiratoriorum et thoracis abnormales-abnormitas non specificata
R85|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje|Probae organorum digestivorum et cavi abdominalis abnormales
R85.0|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-enzyme abnormalis|Probae organorum digestivorum et cavi abdominalis abnormales-enzyme abnormalis
R85.1|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-hormonum abnormale|Probae organorum digestivorum et cavi abdominalis abnormales-hormonum abnormale
R85.2|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-narcotica,medicamenta et substantiae bi|Probae organorum digestivorum et cavi abdominalis abnormales-narcotica,medicam.et subst.biolog.abno.
R85.3|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-substantia non medicinalis abnormalis|Probae organorum digestivorum et cavi abdominalis abnormales-substantia non medicinalis abnormalis
R85.4|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-immunologia abnormalis|Probae organorum digestivorum et cavi abdominalis abnormales-immunologia abnormalis
R85.5|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-microbiologia abnormalis-cultura urinae|Probae organorum digestivorum et cavi abdominalis abnormales-microbiologia abnormalis
R85.6|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-cultura cytologica abnormalis-Papanicol|Probae organorum digestivorum et cavi abdominalis abnormales-cultura cytologica abnormalis
R85.7|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-hystologia abnormalis|Probae organorum digestivorum et cavi abdominalis abnormales-hystologia abnormalis
R85.8|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-abnormalitates aliae-chromosomata abnor|Probae organorum digestivorum et cavi abdominalis abnormales-abnormalitates aliae
R85.9|Nenormalni nalazi uzoraka organa za varenje i trbušne duplje-abnormitas non specificata|Probae organorum digestivorum et cavi abdominalis abnormales-abnormitas non specificata
R86|Nenormalni nalazi uzoraka muških polnih organa|Probae organorum genitalium masculinorum abnormales
R86.0|Nenormalni nalazi uzoraka muških polnih organa-enzyme abnormalis|Probae organorum genitalium masculinorum abnormales-enzyme abnormalis
R86.1|Nenormalni nalazi uzoraka muških polnih organa-hormonum abnormale|Probae organorum genitalium masculinorum abnormales-hormonum abnormale
R86.2|Nenormalni nalazi uzoraka muških polnih organa-narcotica,medicamenta et substantiae biologicae abnor|Probae organorum genitalium masculinorum abnormales-narcotica,medicamenta et subst.biolog.abnormales
R86.3|Nenormalni nalazi uzoraka muških polnih organa-substantia non medicinalis abnormalis|Probae organorum genitalium masculinorum abnormales-substantia non medicinalis abnormalis
R86.4|Nenormalni nalazi uzoraka muških polnih organa-immunologia abnormalis|Probae organorum genitalium masculinorum abnormales-immunologia abnormalis
R86.5|Nenormalni nalazi uzoraka muških polnih organa-microbiologia abnormalis-cultura urinae positiva|Probae organorum genitalium masculinorum abnormales-microbiologia abnormalis
R86.6|Nenormalni nalazi uzoraka muških polnih organa-cultura cytologica abnormalis-Papanicolaou pathologic|Probae organorum genitalium masculinorum abnormales-cultura cytologica abnormalis
R86.7|Nenormalni nalazi uzoraka muških polnih organa-hystologia abnormalis|Probae organorum genitalium masculinorum abnormales-hystologia abnormalis
R86.8|Nenormalni nalazi uzoraka muških polnih organa-abnormalitates aliae-chromosomata abnormalia|Probae organorum genitalium masculinorum abnormales-abnormalitates aliae
R86.9|Nenormalni nalazi uzoraka muških polnih organa-abnormitas non specificata|Probae organorum genitalium masculinorum abnormales-abnormitas non specificata
R87|Nenormalni nalazi uzoraka ženskih polnih organa|Probae organorum genitalium femininorum abnormales
R87.0|Nenormalni nalazi uzoraka ženskih polnih organa-enzyme abnormalis|Probae organorum genitalium femininorum abnormales-enzyme abnormalis
R87.1|Nenormalni nalazi uzoraka ženskih polnih organa-hormonum abnormale|Probae organorum genitalium femininorum abnormales-hormonum abnormale
R87.2|Nenormalni nalazi uzoraka ženskih polnih organa-narcotica,medicamenta et substantiae biologicae abno|Probae organorum genitalium femininorum abnormales-narcotica,medicamenta et subst.biolog.abnormales
R87.3|Nenormalni nalazi uzoraka ženskih polnih organa-substantia non medicinalis abnormalis|Probae organorum genitalium femininorum abnormales-substantia non medicinalis abnormalis
R87.4|Nenormalni nalazi uzoraka ženskih polnih organa-immunologia abnormalis|Probae organorum genitalium femininorum abnormales-immunologia abnormalis
R87.5|Nenormalni nalazi uzoraka ženskih polnih organa-microbiologia abnormalis-cultura urinae positiva|Probae organorum genitalium femininorum abnormales-microbiologia abnormalis
R87.6|Nenormalni nalazi uzoraka ženskih polnih organa-cultura cytologica abnormalis-Papanicolaou pathologi|Probae organorum genitalium femininorum abnormales-cultura cytologica abnormalis
R87.7|Nenormalni nalazi uzoraka ženskih polnih organa-hystologia abnormalis|Probae organorum genitalium femininorum abnormales-hystologia abnormalis
R87.8|Nenormalni nalazi uzoraka ženskih polnih organa-abnormalitates aliae-chromosomata abnormalia|Probae organorum genitalium femininorum abnormales-abnormalitates aliae
R87.9|Nenormalni nalazi uzoraka ženskih polnih organa-abnormitas non specificata|Probae organorum genitalium femininorum abnormales-abnormitas non specificata
R89|Nenormalni nalazi uzoraka drugih organa,sistema i tkiva|Probae organorum,systematum et textuum aliorum abnormales
R90|Nenormalni nalazi kod diagnostike centralnog nervnog sistema|Systema nervosum centrale ad diagnosticam abnormale
R90.0|Oštećenje unutar lobanje|Laesio intracranialis
